Ano;Mes;Faturamento
2011;1;43484
2011;2;45859
2011;3;56254
2011;4;58224
2011;5;75403
2011;6;61255
2011;7;65601
2011;8;80099
2011;9;75017
2011;10;87932
2011;11;95266
2011;12;79175
2012;1;54085
2012;2;63808
2012;3;66330
2012;4;72442
2012;5;83072
2012;6;71321
2012;7;70095
2012;8;99071
2012;9;103100
2012;10;98380
2012;11;113751
2012;12;84933
2013;1;65096
2013;2;72546
2013;3;93375
2013;4;88548
2013;5;83629
2013;6;84438
2013;7;97445
2013;8;114500
2013;9;127127
2013;10;122751
2013;11;136693
2013;12;111804
